event,time
0.0,0
0.0,0
0.0,0
-24.0,0
-24.0,0
-24.0,0
-0.5,0
-0.5,0
-0.5,0
0.0,48
0.0,48
0.0,48
0.0,48
0.0,48
0.0,48
0.0,48
48.0,120
48.0,120
48.0,120
48.0,120
48.0,48
48.0,48
48.0,48
48.0,48
48.0,48
48.0,48
48.0,48
48.0,48
48.0,48
48.0,48
48.0,48
48.0,48
48.0,48
48.0,48
48.0,48
48.0,48
48.0,48
48.0,48
48.0,48
48.0,144
48.0,144
48.0,120
78.0,78
78.0,78
90.0,90
138.0,138
144.0,144
48.0,48
120.0,120
120.0,240
120.0,240
120.0,120
120.0,120
144.0,144
144.0,144
144.0,144
144.0,240
240.0,240
240.0,240
336.0,336
48.0,240
120.0,120
240.0,240
240.0,240
240.0,240
480.0,480
600.0,600
768.0,768
768.0,888
888.0,888
888.0,888
