event,time
0, Factual
0, Factual
-48, Factual
0, Factual
0, Factual
0, Factual
-48, Factual
0, Factual
0, Factual
-48, Factual
-48, Factual
-48, Factual
0, Factual
-48, Factual
-48, Factual
-24, Factual
-24, Factual
0, Factual
0, Factual
-48, Factual
-48, Factual
0, Factual
-40, Factual
-48, Factual
-48, Factual
0, Factual
0, Factual
0, Factual
168, Factual
168, Factual
168, Factual
168, Factual
168, Factual
168, Factual
168, Factual
168, Factual
168, Factual
168, Factual
168, Factual
168, Factual
216, Factual
216, Factual
216, Factual
216, Factual
216, Factual
216, Factual
240, Factual
240, Factual
240, Factual
240, Factual
240, Factual
240, Factual
240, Factual
240, Factual
240, Factual
240, Factual
240, Factual
240, Factual
240, Factual
240, Factual
240, Factual
288, Factual
288, Factual
288, Factual
288, Factual
